Bahasa Ambon,English
jang,adv. don't. sbr. lest. Bae-bae jang ose jatu. = Be careful lest you fall.
jangang,see jang.
janggar ayang,n. Portuguese man of war (a poisonous jellyfish).
jangkar,n. anchor made of iron. cf. sao.
janji,v. 1. instruct. Ontua janji dong kata tar bole tutu kapala. = He instructed them not to cover their heads. 2. promise. Dia janji beta kata sabantar sore bakudapa. = He promised me to meet this afternoon.
jantong,n. (anatomical) heart.
jantong hati,n. heart throb.
jantong pisang,"n. banana bloom, often used as a vegetable."
jao,adj. far. Also jau.
japaang,n. Japan. adj. Japanese.
jarak,"n. 1. A grass, the sorghum. 2. the distance separating two objects."
jarak-jarak,adv. a little way apart. Tanang kasbi jarak-jarak. = Plant cassava with a little distance between plants.
jare,"n. 1. finger, toe. 2. The width of a finger. Babi gamu tiga jare. = A pig having fat three fingers thick."
jare kaki,n. toe.
jare kalingking,n. little finger.
jare mai,n. thumb.
jare manis,n. ring-finger.
jare talunjuk,n. index finger.
jare tenga,n. middle finger.
jareng,"n. large fishing net. cf. jala, tanggu."
jareng bau-bau,"n. large, Japanese-style fish-net."
jareng bodo,n. small floating fish-net without weights.
jareng giop,"n. weighted, encircling fish-net, the bottom of which is drawn together after setting the net in place."
jareng mamanut,n. large floating fish-net without weights.
jareng parempaq,n. fine mesh floating fish-net without weights.
jareng selu,"n. weighted, encircling fish-net, used especially for SELU fish."
jareng tohar,n. heavily weighted fish-net into which fish are driven using a pantohar.
jareng tutu,n. stationary fish-net secured to promontories.
jari,see jare.
jaring,see jareng.
jarong,n. needle.
jarong jeksi,n. syringe.
jarong masin,n. sewing machine needle.
jarong suntik,n. syringe.
jato,vi. fall.
jau,n. far. Also jao.
Jawa,"n. 1. The island, Java. 2. A Javanese person. adj. Javanese."
jawara,"n. ace marble(?), n. champion"
jaya,vi. 1. prosper. 2. be victorious.
jeksi,v. n. injection. 1. get an injection. 2. administer an injection.
jenefer,n. whisky.
jengkel,"n. despise, abhore."
jengki,n. jeans.
jiip,n. jeep.
jiko,see jiku.
jiku,n. corner.
jiku mulu,n. corner of the mouth.
jimat,n. fetish. cf. ajimat.
jingkal,n. span. v. span.
joget,n. a kind of Malay dance in which the couples do not touch and sashay back and forth. v. dance this dance.
jojaro,n. unmarried girl. Ant. mongare.
jombatang,see jambatang.
jongko,n. squat. cf. bongko.
jongsong,see jonson.
jonson,n. 1. outboard engine. 2. boat driven by an outboard engine.
joormin,"n. A small white fruit, the Otaheite gooseberry, Phyllanthus acidus, which is often made into a slightly sour preserve."
jua,"adv. 1. in that case. Kal seng mau badiri, no dudu jua. = If you don't want to stand, then just sit down. 2. please. Sadiki jua = (give me) a little, please. 3. If it's okay. Sampe jua = (that's) enough (if its all right with you). This word is placed at the end of sentences in which something is requested."
juba,n. a kind of Arabian cloak.
jubing,n. concrete floor.
judi,n. any game of chance played with real money. cf. toop.
juling,adj. (of the eyes) crossed. Also skeleng.
julu-julu,vt. tickle (Oma).
julung,see ikang julung.
Jumat,n. Friday.
jumor,see jumur.
jumur,v. dry in the sunshine.
jungkir,vi. tumble.
jungkir,v. fall headlong.
jungkir bale,"adv. head down, legs up."
jungku,n. A kind of large sailboat having no deck and no outriggers.
juragang,n. boat captain.
juta,n. million.
ka,"vi. move towards, go to. Ontua ada ka pasar, He is gone to the market. prp. to, towards. Pii ka mana? = Going where? crd. or. Mau hidup ka mau mati? = (Do you) want to live or to die?"
ka balakang,adj. backward. Orang ka balakang. = Backward person left behind by the times.
kaan,adj. squared. Kayu kaan = squared timber. cf. kant.
kaang,"adv. isn't it, doesn't it, etc. Ana itu gamuu, kaang? = That child is fat, isn't he?"
kaar,"n. map, chart."
kaarsang,"n. pants, underpants. Also calana."
kaas,n. 1. cheese (also keju). 2. cupboard. Also lamari.
kaatas,adv. upwards.
kabaal,n. invulnerability. adj. impervious by means of magic.
kabaas,"v. shake off. Jang kabaas aer! = Don't shake off water (rainwater, etc.)."
kabaekang,"n. goodness, kindness."
kabaktiang,n. Christian worship service.
kabangkalang,v. choke.
kabaressi,"adj. valiant, courageous, fearless."
kabau,n. box made of pandanus leaves or bamboo.
kabawa,adv. downwards.
kabaya,"n. traditional Moluccan woman's long blouse. Arab ""abaya,"" woman's robe."
kabaya dangsa,n. a kind of man's blouse worn over a baniang.
kabel,n. electrical or steel cable.
kabiri,see kapadu.
kaboong,n. cultivated area.
kabor,see kabur.
kabubu,"adj. (of wood) worm-eaten, gone to termite droppings. Ruma itu su kabubu. = That house has gone to termite droppings. vi. decompose into termite droppings. vt. deceive(?)"
kabuli,v. deceive. Jang kabuli dia. = Don't fool him.
kabur,"adj. out of focus, murky, barely or poorly visible."
kaburu,v. rush. adj. rushed. adv. in a hurry. Jang kaburu makang. = Don't eat in a hurry. Also paparipi.
kabuus,n. see ikang kabuus.
kaca,n. 1. mirror. 2. glass (the material).
kaca mata,"n. eye-glasses, diving mask, goggles."
kaca mata itang,n. sunglasses.
kaca mata panas,n. sunglasses.
kacang,"n. 1. any legum. 2. the peanut, Arachis hypogaea."
kacang cina,"n. The Hindu cowpea, a legume, Vignacylindrica."
kacang goreng,n. peanuts dry roasted in a wok with sand.
kacang ijo,"n. The mung bean, Phaseolus aureus, from which bean sprouts are manufactured."
kacang kadelee,n. soybean.
kacang kayu,"n. A legume, the pigeonpea, Cajanuscajan."
kacang mera,"n. A legume, the common bean, Phaseolusvulgaris."
kacang sabel,"n. A bean, the jack bean, Canavalia ensiformis."
kacang tumbu,n. bean sprouts.
kacupeng,"adj. (pejorative) runty, little."
kadalang,adj. deep. Jang barnaang di aer kadalang = don't swim in deep water.
kadara,v. move inland. adv. inland
kadera,n. chair.
kadiamang,"v. settle in, v. become a citizen of. Sabanarnya Sapteno tu dari Ou, tapi Mama dong su kadiamang Soya. = The Saptenus are actually from Ou, but Mother has become a resident of Soya."
kadondong,"n. A tree having fibrous fruit, the Otaheite-apple, Spondias dulcis."
kadou,n. 1. gift. 2. wedding gift.
kaeng,n. 1. sarong. 2. cloth.
kaeng balaco,n. chintz.
kaeng cita,n. printed cotton cloth material.
kaeng gandong,n. bride-price sarong presented to parents and uncles of the bride.
kaeng jandela,n. curtain.
kaeng kalambu,n. mosquito netting.
kaeng kapala,n. head cloth.
kaeng meja,n. tablecloth.
kaeng oom,see kaeng gandong.
kaeng palekat,n. man's calico sarong having a multicolored pattern of broad stripes crossing each other at right angles and joined into a circle at the ends.
kaeng panjang,n. woman's batik sarong.
kaeng pintu,n. curtain hung in a doorway.
kaeng-kabaya,n. woman's traditional outfit consisting of a sarong and kabaya.
kai,"n. older sibling (original meaning has been forgotten in many cases, but this word remains tacked onto the ends of sentences, especially in Oma dialect). Bagaimana, kai o? = How are you, older sibling?"
kairore,n. a traditional dance. joining the arms with someone in criss-cross fashion in order to hoist up another person (Asilulu).
Kajadiang,n. Christmas.
kajahatang,"n. evil. adj. evil, bad."
kaka,n. 1. older sibling. 2. form of address for older sister.
kakaal,adj. permanent.
kakalu,"n. stirring paddle, spatula, esp. for sago porridge (Asilulu)."
kakanang,v. move right. adv. to the right.
kakatua,n. 1. cockatoo. 2. pliers.
kakatua merah,"n. A red parrot, Psittaciformes."
kakatua puti,"n. the white cockatoo, including both the rose- and yellow-crested, Kakatoe."
kakatua tuli,"n. A large-headed green parrot, thought to have a poor sense of hearing, Psittaciformes."
kakerlaak,n. 1. cockroach. 2. albino.
kaki,n. 1. any part of the leg or foot. 2. base. Kaki tembok = base of wall. 3. lower part. Kaki aer = estuary.
kaki baju,n. hem of a dress or skirt.
kaki ear,n. foot or estuary of a stream.
kaki karabu,adj. having an ulcerated foot.
kaki saribu,"n. centipede, Chilopoda."
kaki setang,n. A stick insect.
kaki tombak,n. spear haft.
kakiri,v. move leftward. adv. to the left.
kakosang,n. the flaky skin on an infant's head (asilulu).
kaku,adj. awkward.
kakurang,n. A weed.
kakus,n. latrine.
kakusang,"n. 1. strainer. 2. A kind of lansa fruit, the contents of which must be sucked out."
kakusang,n. see kukusang.
kal,see kalo.
kala,v. be defeated.
kalaam,n. the bar or latch of a door. v. bar (a door).
kalaar,"adj. finished, ready."
kalaas,n. class in school or aboard a conveyance.
kalabasa,n. 1. A tree having fruit that can be used as gourds. 2. The hollowed out fruit of this tree.
kalabembang,n. Some part of chicken anatomy.
kalabor,"v. horse around, mess things up. adj. without finesse. Ana itu pake baju paling kalabor. = That child dresses without any finesse at all. PAN la(m)bug, turbid."
kaladi,"n. An edible tuber, the taro, Colocasia esculenta."
kaladi bulai,"n. A kind of taro yielding very large tubers, found on Obi Island."
kaladi inan,n. A kind of taro yielding a round tuber.
kaladi johor,n. A kind of taro yielding long tubers.
kaladi kiha,"n. A kind of taro yielding long edible stems but no tubers, found on Obi Island."
kalajengkeng,"n. scorpion, any of various arachnids of the order Scorpionida."
kalakuang,n. behavior.
kalam,adj. calm (of psychological temperament).
kalamareng,adv. yesterday. Ant beso.
kalamareng dolo,adv. day before yesterday.
kalambu,n. mosquito net.
kalamoyang,n. A worm.
kalamumor,see kalamumur.
kalamumur,n. dandruff.
kalao,v. move seaward. adv. to the seaward. Ant. kadara.
kalapa,see pohong kalapa.
kalapa bali,"n. A palm, the oilpalm, Elaeis guineensis."
kalapa kanari,n. A coconut.
kalapa raja,n. A coconut.
kalau,adv. see kalao.
kalawai,n. fish spear.
kalayu babintang,"n. Whaleshark, Rhincodontypus Smith."
kaleer,n. color.
kaleet,n. European-style woman's dress.
kalenci,n. rabbit. Beta pung kalenci piara. = My pet rabbit.
kalereng,n. child's marble. Also mutel.
kalesang,v. pay attention to or give care to.
kalewang,n. European-style army sword.
kaliir,n. testicle.
kaliweng,"n. A land crab, the spanner crab, Raninina ranina (Asilulu)."
kalo,sbr. if.
kalomang,"n. package made of leaves to contain kanari nuts, etc."
kalong,"n. 1. handcuffs. 2. civet cat (also ""musang"")."
kaloom,"n. patten, sandal carved from a wooden block and having a single strap that goes over the toes."
kaloos,n. spool.
kaloot,n. testicle. Also biji kaliir.
kaloot kambing,n. A tree.
kalor,adj. bald.
kalore,"n. A flowering cucumber, Cucumis spp (Asilulu)."
kalorol,"n. A tree with medicinal fruit, Croton-tiglium, the seed of which causes severe diarrhea (Asilulu)."
kaluna,n. a fish.
kaluyu,n. shark (order Squaliformes or Selachii).
kaluyu aer,"n. Weaselshark, Negogaleusmicrostoma Bleeker."
kaluyu gargaji,"n. The Green sawfish, Pristiszijsron Bleeker."
kaluyu ikang,"n. Tiger shark, Galeocerdocuvieri Peron and Le Sueur."
kaluyu kapala panggayong,"n. Hammer headshark, Sphyrnalewini Griffith."
kamange,see komangi.
kamaniang,"n. A kind of incense, perhaps benzoin."
kamar,n. 1. room. 2. bedroom.
kamar dudu,n. parlor.
kamar kaciil,n. rest room.
kamar mandi,n. bathroom.
kamar tidor,n. bedroom.
kamareng,see kalamareng.
kamari,"adv. this way, hither. Ant kasana. sbr. then. Bicara bae-bae kamari, ontua pukul Sem = (He) spoke nicely, then struck Sem."
kamari-kamari,adv. as time approached the present.
kamasi,n. a liquid condiment made of salt and fish entrails used esp. for flavoring fruit salads. (Asilulu).
kambelo,see kambelu.
kambelu,"n. shipworm, Teredinidae."
kambing,n. goat (genus Capra).
kamboti,n. 1. A kind of basket roughly woven from green coconut leaves used by men to carry fruit and tubers home from the fields. 2. a numerical-connector for commercial transactions involving fruits and tubers.
kameja,n. shirt.
kamiri,"n. A spice tree, the kukui or candlenut, Aleurites moluccana."
Kamis,n. Thursday.
kamorang,prn. you people (somewhat deprecating).
kamu-kamu,"n. mist, fog."
kamudi,"n. rudder. v. steer using a rudder, paddle, or oar."
kamuka,adv. before in time.
kamuleng,"n. A seaside plant, the edible leaves of which can also be used as medicine (Asilulu)."
kamuleng utang,"n. A forest plant with inedible leaves similar to, but smaller than, ""kamulen"" (Asilulu)."
kana,n. A sturdy imported earthenware bottle used for tapers (Asilulu).
kanaal,v. 1. recognize. 2. know. Beta kanaal dia su lima taong. = I have known him for five years.
kanal stroom,vi. receive an electrical shock.
kanari,n. see pohong kanari.
kanari utang,n. see pohong kanari utang.
kancing,n. 1. button. 2. hip?
kaneek,n. public conveyance driver's assistant.
kanees,"adj. (of a woman) street smart, able to dish back, unwilling to put up with any nonsense."
kaneker,n. child's marble. also mutel.
kangkong,"n. A vegetable plant, Ipomoea aquatica, swamp-cabbage or ong-choy."
kaniing,n. eyebrow.
kanji,n. starch for clothing. v. starch.
kanjilu,n. A game similar to London Bridge (Asilulu).
kanjoli,"n. 1. A tree, the bintanggor. 2. The seeds of the ""hataul"" tree; the flesh can be ground and made into tapers (Asilulu). Roy Sekewael says that the seeds are not ground but that the kanjoli nuts are pounded so as only to remove the shells, then pierced with kumur (sago palm midribs) and used as candles."
kanoop,n. button.
kant,n. corner. cf. kaan.
kantaal,"adj. thick, viscous."
kantaang,n. potato.
kantara,adj. visible.
kantoor,n. office.
kapado,"v. 1. castrate. 2. prune, trim. cf. kambiri."
kapadu,see kapado.
kapal,n. ship.
kapal tarbaang,n. airplane.
kapala,n. 1. (anatomical)head. 2. chief
kapala aer,n. headwaters of a stream.
kapala basaar,"adj. conceited, unruly."
kapala botak,adj. bald headed.
kapala butu,n. glans penis.
kapala kampong,"n. A title given to certain village chiefs. cf. raja, orang kaya, marinyo, maweng, kewang, kapitang."
kapala meja,n. head of the table.
kapala skopeng,adj. stubborn [meaning not yet defined].
kapala susu,n. cream.
kapala tongka,n. ornamentation at the top of a staff or cane once a symbol of political status.
kapas,n. cotton. cf. kotoon.
kapas-kapas,n. A fish.
kapaseti,n. Moluccan warrior's helmet.
kapata,n. traditional slow musical verse chanted on ritual occasions.
kapinging,"v. long, long for, long to."
kapista,adj. (of females) 1. excessively impudent. (2. slang) sexually high strung. cf. isi bagaraa.
kapitang,n. 1. warrior. 2. official village military chief.
kapiteng,n. see kataang.
kapiting,n. see kataang.
kapo,adj. discouraged from misbehavior. Su kapo ka baloong? = Are you finished fooling around?
kapolat,n. A shrub bearing very toxic leaves (Asilulu).
kapoot,n. broken.
kapor,n. 1. lime (as for whitewashing or chewing with betel nut). 2. chalk.
karaam,v. 1. be numb. 2. be paralyzed. 3. be afflicted with a cramp. 4. receive an electrical shock.
karaas,adj. 1. hard. 2. fast. Dong dua itu konco karaas. = The two of them are fast friends.
karabu,"adj. afflicted with infected sores. PAN keRa9. 2. scab, crust on a wound."
karamat,adj. sacred. Also kramat.
karang,n. coral.
karanjang,n. 1. a kind of basket. 2. A large thorn bush (duri karanjang).
karbou,n. water buffalo.
kardamoong,"n. A perennial plant, Elettaria cardamomum, whose seeds are used as an inferior substitute for true cardamom seed."
karduus,see garduus.
